seed,episode_idx,env_seed,regime,sampler,K,candidates,sample_runtime_seconds,rollout_runtime_seconds,runtime_per_candidate_ms
1,0,31100,pusht_aligned,ddim_eps,1,8,0.010827899997821078,0.521477700000105,66.53819999974075
1,0,31100,pusht_aligned,consistency_1step,1,8,0.009288700002798578,0.46955830000297283,59.855875000721426
1,0,31100,pusht_aligned,ddim_eps,8,8,0.01597380000021076,0.4533064999995986,58.66003749997617
1,0,31100,pusht_aligned,ddpm_eps,8,8,0.015763499999593478,0.4329909000007319,56.094300000040676
1,0,32100,pusht_low_diversity,ddim_eps,1,8,0.014475599997240352,0.49279740000201855,63.40912499990736
1,0,32100,pusht_low_diversity,consistency_1step,1,8,0.010734300001786323,0.4442954000005557,56.87871250029275
1,0,32100,pusht_low_diversity,ddim_eps,8,8,0.016429999999672873,0.36839969999709865,48.10371249959644
1,0,32100,pusht_low_diversity,ddpm_eps,8,8,0.06091309999828809,0.5077033999987179,71.07706249962575
1,0,33100,pusht_high_temp_misaligned,ddim_eps,1,8,0.009292599999753293,0.4064604999985022,51.96913749978194
1,0,33100,pusht_high_temp_misaligned,consistency_1step,1,8,0.010985000000800937,0.45074210000166204,57.71588750030787
1,0,33100,pusht_high_temp_misaligned,ddim_eps,8,8,0.018014700002822792,0.5537714999991294,71.47327500024403
1,0,33100,pusht_high_temp_misaligned,ddpm_eps,8,8,0.028195400002005044,0.48012670000025537,63.54026250028255
