seed,state_idx,regime,sampler,K,candidates,runtime_seconds,runtime_per_candidate_ms,mean_pairwise_distance,effective_sample_diversity
1,0,id,ddim_eps,1,16,0.006205099998624064,0.387818749914004,0.49042818961930074,1.5793124334404516
1,0,id,clean_target_ablation,1,16,0.01699240000016289,1.0620250000101805,0.3048296304002471,1.6096973949947184
1,0,id,consistency_1step,1,16,0.02153109999926528,1.34569374995408,0.4763984112272921,1.5856434413907932
1,0,id,ddim_eps,8,16,0.027082400003564544,1.692650000222784,0.5445379944655979,1.5979323854276422
1,0,id,clean_target_ablation,8,16,0.016976600003545173,1.0610375002215733,0.05158485333452529,1.612888872488109
1,0,id,ddpm_eps,8,16,0.031137399993895087,1.946087499618443,0.5485236652617992,1.5868078175328715
1,0,low_diversity,ddim_eps,1,16,0.011544799999683164,0.7215499999801978,0.07188084457137256,1.6014310903598137
1,0,low_diversity,clean_target_ablation,1,16,0.00637500000448199,0.39843750028012437,0.04717699981565982,1.6333528787675733
1,0,low_diversity,consistency_1step,1,16,0.007913299996289425,0.49458124976808904,0.06028098715250722,1.5624651674610233
1,0,low_diversity,ddim_eps,8,16,0.015173200001299847,0.9483250000812404,0.0587276260160782,1.6039430735664744
1,0,low_diversity,clean_target_ablation,8,16,0.037863000005017966,2.366437500313623,0.0070827579615166,1.5962093162071074
1,0,low_diversity,ddpm_eps,8,16,0.030610299996624235,1.9131437497890147,0.05953023687436541,1.5997244761471037
1,0,hidden_obstacle,ddim_eps,1,16,0.022241500002564862,1.390093750160304,0.6051052052799039,1.5735176785847198
1,0,hidden_obstacle,clean_target_ablation,1,16,0.018136999999114778,1.1335624999446736,0.37245169102738634,1.624621882626161
1,0,hidden_obstacle,consistency_1step,1,16,0.012565000004542526,0.7853125002839079,0.6406815151014077,1.6069243037180028
1,0,hidden_obstacle,ddim_eps,8,16,0.022808900001109578,1.4255562500693486,0.5969647711820085,1.6050208914749826
1,0,hidden_obstacle,clean_target_ablation,8,16,0.01900949999981094,1.1880937499881838,0.06797155419506543,1.667974080653494
1,0,hidden_obstacle,ddpm_eps,8,16,0.0353047999960836,2.206549999755225,0.601187858024953,1.6061817652984425
