n,mean,se,ci_low,ci_high,confidence,effect,sampler,regime,K,N
1,0.52319601452635,0.0,0.52319601452635,0.52319601452635,0.95,oracle_real_utility_selector_minus_tail_only_misaligned_score,ddim_eps,hidden_obstacle,8,16
1,0.212048149644398,0.0,0.212048149644398,0.212048149644398,0.95,calibrated_critic_minus_tail_only_misaligned_score,ddim_eps,hidden_obstacle,8,16
