sampler,regime,scorer,K,metric,n,mean,se,ci_low,ci_high,confidence,low_n,high_n,effect,value_col,runtime_per_candidate_ms,runtime_rows,mean_pairwise_distance,effective_sample_diversity,sampler_role
clean_target_ablation,id,oracle_real_utility_selector,1,exact_selected_real,1,0.14809405626001537,0.0,0.14809405626001537,0.14809405626001537,0.95,1,16,high_minus_low,exact_selected_real,0.4370500000732136,3,0.24148610708109775,1.6225573854628177,ablation
clean_target_ablation,id,oracle_real_utility_selector,8,exact_selected_real,1,0.07569752060400814,0.0,0.07569752060400814,0.07569752060400814,0.95,1,16,high_minus_low,exact_selected_real,2.5179708333477415,3,0.04221305516370244,1.6256907564495702,ablation
consistency_1step,id,oracle_real_utility_selector,1,exact_selected_real,1,0.40341615027140354,0.0,0.40341615027140354,0.40341615027140354,0.95,1,16,high_minus_low,exact_selected_real,0.49501041674678464,3,0.39245363782706894,1.5850109708566062,primary
ddim_eps,id,oracle_real_utility_selector,1,exact_selected_real,1,0.3516019422078739,0.0,0.3516019422078739,0.3516019422078739,0.95,1,16,high_minus_low,exact_selected_real,0.6474625001070914,3,0.3891380798235257,1.5847537341283282,primary
ddim_eps,id,oracle_real_utility_selector,8,exact_selected_real,1,0.47896010524195254,0.0,0.47896010524195254,0.47896010524195254,0.95,1,16,high_minus_low,exact_selected_real,2.454156249996231,3,0.4000767972212282,1.6022987834896998,primary
ddpm_eps,id,oracle_real_utility_selector,8,exact_selected_real,1,0.47044232785007156,0.0,0.47044232785007156,0.47044232785007156,0.95,1,16,high_minus_low,exact_selected_real,1.6201833334434923,3,0.40308058672037256,1.597571352992806,primary
