n,mean,se,ci_low,ci_high,confidence,effect,sampler,regime,K,N
12,0.17440985348823576,0.05465996392364759,0.08515648062423414,0.26563385818229934,0.95,oracle_real_utility_selector_minus_tail_only_misaligned_score,ddim_eps,hidden_obstacle,16,16
12,0.1425718645974173,0.04404494031924794,0.0656179098236748,0.2194064423656325,0.95,calibrated_critic_minus_tail_only_misaligned_score,ddim_eps,hidden_obstacle,16,16
