seed,sampler,regime,scorer,N,K,exact_selected_real,exact_selected_max_coverage,exact_selected_final_coverage,exact_selected_success
1,consistency_1step,pusht_aligned,behavior_cloning_critic,1,1,0.017322967510103073,0.07972745033887911,0.014912411930748002,0.0
1,consistency_1step,pusht_aligned,behavior_cloning_critic,2,1,0.018969028922099757,0.07650380307676284,0.009585092001484304,0.0
1,consistency_1step,pusht_aligned,behavior_cloning_critic,4,1,0.01779343307837605,0.07119843559792399,0.004490813739127748,0.0
1,consistency_1step,pusht_aligned,behavior_cloning_critic,8,1,0.014595452749898047,0.06403160333638018,0.0014561443150397037,0.0
1,consistency_1step,pusht_aligned,behavior_cloning_critic,16,1,0.009103818881088252,0.055794089247643,0.00015482695283829635,0.0
1,consistency_1step,pusht_aligned,diffusion_internal_score,1,1,0.017322967510103086,0.07972745033887912,0.014912411930748002,0.0
1,consistency_1step,pusht_aligned,diffusion_internal_score,2,1,0.024605381519293007,0.08680315815605245,0.015619585193916985,0.0
1,consistency_1step,pusht_aligned,diffusion_internal_score,4,1,0.03170183940897168,0.09310485557361226,0.017342684132891202,0.0
1,consistency_1step,pusht_aligned,diffusion_internal_score,8,1,0.034519883220248786,0.0953902369516787,0.022679760751222886,0.0
1,consistency_1step,pusht_aligned,diffusion_internal_score,16,1,0.031249646444352772,0.09289122875174861,0.03303844334618949,0.0
1,consistency_1step,pusht_aligned,learned_value_critic_from_pilot_rollouts,1,1,0.01732296751010307,0.07972745033887911,0.014912411930748,0.0
1,consistency_1step,pusht_aligned,learned_value_critic_from_pilot_rollouts,2,1,0.025207032315289295,0.07888721500877074,0.009372927759403373,0.0
1,consistency_1step,pusht_aligned,learned_value_critic_from_pilot_rollouts,4,1,0.0338387301173989,0.08229631614865701,0.0034485587812941604,0.0
1,consistency_1step,pusht_aligned,learned_value_critic_from_pilot_rollouts,8,1,0.04547822836486818,0.09111332856823302,0.0006651013671902206,0.0
