seed,state_idx,regime,sampler,K,temperature,new_modes_at_high_n,mean_pairwise_distance,effective_sample_diversity,duplicate_collapse_rate,trajectory_cluster_count,trajectory_cluster_entropy
1,0,id,ddim_eps,1,0.95,3.0,0.5853301781424114,1.6281649994001552,0.0,7.0,0.928441514914399
1,0,id,clean_target_ablation,1,0.95,2.0,0.38751328191167195,1.6230118064175072,0.0,6.0,0.9352664298790463
1,0,id,consistency_1step,1,0.95,1.0,0.5831140211933968,1.620439024957011,0.0,7.0,0.8923428328652752
1,0,id,ddim_eps,4,0.95,0.0,0.5829604522157861,1.6107947275815033,0.0,6.0,0.8764086377224138
1,0,id,clean_target_ablation,4,0.95,2.0,0.10606222051324463,1.618796818713888,0.0,6.0,0.8580147793097572
1,0,id,ddpm_eps,4,0.95,0.0,0.586762897484768,1.6128010384660951,0.0,6.0,0.8764086377224138
1,0,id,ddim_eps,16,0.95,1.0,0.5584003119807458,1.616607406926116,0.0,8.0,0.9362487435269453
1,0,id,clean_target_ablation,16,0.95,3.0,0.027978191934555436,1.6604983100694208,0.0,8.0,0.7641604167830123
1,0,id,ddpm_eps,16,0.95,2.0,0.5754082917337291,1.6327249398261072,0.0,8.0,0.8925647570307419
1,1,id,ddim_eps,1,0.95,4.0,0.5749381509543634,1.6290742994687608,0.0,8.0,0.8942724383698268
1,1,id,clean_target_ablation,1,0.95,2.0,0.386371291111399,1.6187736034061166,0.0,5.0,0.8042852254079534
1,1,id,consistency_1step,1,0.95,2.0,0.5996669823150516,1.6156037794182785,0.0,8.0,0.8503660569985745
1,1,id,ddim_eps,4,0.95,3.0,0.5941924161282923,1.6310122035444097,0.0,7.0,0.6239428985679861
1,1,id,clean_target_ablation,4,0.95,1.0,0.12087061193261733,1.646402972684714,0.0,6.0,0.9089487034728676
1,1,id,ddpm_eps,4,0.95,3.0,0.597039908063648,1.628725901578854,0.0,7.0,0.6239428985679861
1,1,id,ddim_eps,16,0.95,1.0,0.5448244908541703,1.6154615441030213,0.0,8.0,0.8342351606388009
1,1,id,clean_target_ablation,16,0.95,0.0,0.028440982397749583,1.6123742875455542,0.0,6.0,0.8582508850511112
1,1,id,ddpm_eps,16,0.95,0.0,0.5565277851944169,1.6256742004378733,0.0,7.0,0.8369030803043509
1,2,id,ddim_eps,1,0.95,2.0,0.5580045556581924,1.603753829841666,0.0,5.0,0.7757644893833017
