seed,model,initial_loss,final_loss,loss_ratio,epochs,diffusion_steps,target
1,epsilon_ddpm,1.0106205940246582,0.9740907549858093,0.9638540523962867,12,24,epsilon
1,clean_target_ablation,0.03081263229250908,0.009288872592151165,0.301463130574839,6,0,clean_action
2,epsilon_ddpm,0.9662595391273499,0.9321708083152771,0.9647209373551344,12,24,epsilon
2,clean_target_ablation,0.018428407609462738,0.006269359495490789,0.34020082626518194,6,0,clean_action
3,epsilon_ddpm,0.9762788414955139,0.9460739493370056,0.969061203751749,12,24,epsilon
3,clean_target_ablation,0.027644064277410507,0.009861729107797146,0.3567394797246116,6,0,clean_action
4,epsilon_ddpm,0.9517655968666077,0.9234874844551086,0.9702887848598479,12,24,epsilon
4,clean_target_ablation,0.025937756523489952,0.00952827837318182,0.3673516776423106,6,0,clean_action
