n,mean,se,ci_low,ci_high,confidence,effect,sampler,regime,K,N
12,0.14133177023423268,0.03599608483746548,0.08485121643460213,0.21521132949311686,0.95,oracle_real_utility_selector_minus_misaligned_corner_scorer,ddim_eps,pusht_high_temp_misaligned,16,16
12,0.12668899137972575,0.03496132781234749,0.06903241793053536,0.20405168411561064,0.95,learned_value_critic_from_pilot_rollouts_minus_misaligned_corner_scorer,ddim_eps,pusht_high_temp_misaligned,16,16
