sampler,regime,scorer,K,metric,n,mean,se,ci_low,ci_high,confidence,low_n,high_n,effect,value_col
clean_target_ablation,action_noise,anti_correlated_score,1,exact_selected_real,12,-0.353336129891291,0.027401501034177267,-0.40073017328434524,-0.30503781452683926,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,anti_correlated_score,1,exact_selected_score,12,0.36097774554710393,0.027744428777121608,0.31067599169652294,0.40778352629722914,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,anti_correlated_score,1,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,anti_correlated_score,4,exact_selected_real,12,-0.1563182185205404,0.020918445493318127,-0.1937402120010677,-0.11727185171266812,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,anti_correlated_score,4,exact_selected_score,12,0.1707054579334318,0.020261928855823258,0.1339844956048429,0.20806610268399617,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,anti_correlated_score,4,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,anti_correlated_score,16,exact_selected_real,12,-0.03476823433550053,0.006664515450186214,-0.047963411624338585,-0.02132272028197095,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,anti_correlated_score,16,exact_selected_score,12,0.05507103038979619,0.004708671970618217,0.045644113479750045,0.06417247497317831,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,anti_correlated_score,16,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,behavior_cloning_critic,1,exact_selected_real,12,0.18470243500302863,0.03920558637056616,0.11739276620878278,0.26070696113397407,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,behavior_cloning_critic,1,exact_selected_score,12,0.26656150041085924,0.02911785375405286,0.20810654243877647,0.323539959492809,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,behavior_cloning_critic,1,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,behavior_cloning_critic,4,exact_selected_real,12,-0.007327650139492973,0.03997833524953653,-0.08504524864641308,0.06350278363974064,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,behavior_cloning_critic,4,exact_selected_score,12,0.08662912635111698,0.011429733797015083,0.06745028738597063,0.1096174366660855,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,behavior_cloning_critic,4,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,behavior_cloning_critic,16,exact_selected_real,12,-0.0004855137861007978,0.008699302987431977,-0.016992523012181675,0.014207648266119092,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,behavior_cloning_critic,16,exact_selected_score,12,0.020588880360236792,0.002100984556528774,0.017120956093594167,0.02534370471084276,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,behavior_cloning_critic,16,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,calibrated_critic,1,exact_selected_real,12,0.31237243636723994,0.03921809122771128,0.2405297587463214,0.378865056570442,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,calibrated_critic,1,exact_selected_score,12,0.3424666920374218,0.04173877596919307,0.2687775060574492,0.4211831957655354,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,calibrated_critic,1,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,calibrated_critic,4,exact_selected_real,12,0.10909691137970935,0.016587905075877443,0.07863645636382946,0.13928693833886738,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,calibrated_critic,4,exact_selected_score,12,0.12864856925686916,0.014549150661718758,0.10319515778706011,0.15753922744564122,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,calibrated_critic,4,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,calibrated_critic,16,exact_selected_real,12,0.04151707982521554,0.006188506602454613,0.030158955885473092,0.051692559715738856,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,calibrated_critic,16,exact_selected_score,12,0.039123938192177715,0.005646576200507164,0.02876396107027601,0.047935266772194264,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,calibrated_critic,16,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,diffusion_internal_score,1,exact_selected_real,12,-0.05521337701390438,0.03525595199328122,-0.1255740933258535,0.008009138176571173,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,diffusion_internal_score,1,exact_selected_score,12,0.5102115350556975,0.023806024074024712,0.4669486823156716,0.5526966593025273,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,diffusion_internal_score,1,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,diffusion_internal_score,4,exact_selected_real,12,0.003551330218576602,0.012948229209801982,-0.018930014191378106,0.026239736596262195,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,diffusion_internal_score,4,exact_selected_score,12,0.5103101286701633,0.026346768009551172,0.462632979301739,0.5615720583563848,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,diffusion_internal_score,4,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,diffusion_internal_score,16,exact_selected_real,12,-0.0028271785693999483,0.004089062191535588,-0.010402258032095673,0.005287993546752692,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,diffusion_internal_score,16,exact_selected_score,12,0.46723712631834985,0.019033157852050824,0.4284612899735191,0.5010650216182735,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,diffusion_internal_score,16,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,diffusion_likelihood_proxy,1,exact_selected_real,12,0.1858798561431492,0.03884978428156819,0.11186278372876611,0.2568500776654271,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,diffusion_likelihood_proxy,1,exact_selected_score,12,0.18120283030038423,0.01987190853817399,0.14281789326548894,0.22178613328563837,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,diffusion_likelihood_proxy,1,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,diffusion_likelihood_proxy,4,exact_selected_real,12,-0.007180495111941586,0.04001785391326385,-0.09225836256042345,0.06333160006466623,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,diffusion_likelihood_proxy,4,exact_selected_score,12,0.05892156255649176,0.007752199196252692,0.04593816837422739,0.07468715005808889,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,diffusion_likelihood_proxy,4,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,diffusion_likelihood_proxy,16,exact_selected_real,12,8.952326101145196e-05,0.00867098341724584,-0.017388111890789582,0.016443136727308898,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,diffusion_likelihood_proxy,16,exact_selected_score,12,0.014008837455559075,0.0014317077698603135,0.011616540630705222,0.017075996485642855,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,diffusion_likelihood_proxy,16,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,learned_value_critic_from_pilot_rollouts,1,exact_selected_real,12,0.2920981572080735,0.04474625726983608,0.21130998390271957,0.3719907038180946,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,learned_value_critic_from_pilot_rollouts,1,exact_selected_score,12,0.3247570471877451,0.03659456762228684,0.2612732796281737,0.38729667818144276,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,learned_value_critic_from_pilot_rollouts,1,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,learned_value_critic_from_pilot_rollouts,4,exact_selected_real,12,0.09924224471961633,0.020479794535036087,0.06223399881456092,0.13830780594031167,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,learned_value_critic_from_pilot_rollouts,4,exact_selected_score,12,0.11544258322684647,0.014677353690677247,0.09020627349815537,0.14782138983840037,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,learned_value_critic_from_pilot_rollouts,4,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,learned_value_critic_from_pilot_rollouts,16,exact_selected_real,12,0.03434517964820869,0.0068808026772025094,0.02144680924285908,0.046739910687767394,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,learned_value_critic_from_pilot_rollouts,16,exact_selected_score,12,0.02170632067102536,0.003956720513116492,0.014736047289717304,0.029263158765239054,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,learned_value_critic_from_pilot_rollouts,16,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,oracle_real_utility_selector,1,exact_selected_real,12,0.348161730311854,0.0321739434385329,0.2906448801330831,0.41322197058869753,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,oracle_real_utility_selector,1,exact_selected_score,12,0.348161730311854,0.0321739434385329,0.2906448801330831,0.41322197058869753,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,oracle_real_utility_selector,1,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,oracle_real_utility_selector,4,exact_selected_real,12,0.12772823330873942,0.014204621170140916,0.10279953364294202,0.15355087600369166,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,oracle_real_utility_selector,4,exact_selected_score,12,0.12772823330873942,0.014204621170140916,0.10279953364294202,0.15355087600369166,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,oracle_real_utility_selector,4,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,oracle_real_utility_selector,16,exact_selected_real,12,0.04192638756379056,0.006124233344181206,0.031140747545691773,0.05338407084368236,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,oracle_real_utility_selector,16,exact_selected_score,12,0.04192638756379056,0.006124233344181206,0.031140747545691773,0.05338407084368236,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,oracle_real_utility_selector,16,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,random_sample_selection,1,exact_selected_real,12,-0.05142753731023999,0.028468935765692843,-0.0947975601866782,0.00975162487913641,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,random_sample_selection,1,exact_selected_score,12,1.7389698522183374,0.07986901253442574,1.565900386355612,1.8764205285084388,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,random_sample_selection,1,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,random_sample_selection,4,exact_selected_real,12,-0.01957102988177083,0.009204175648742478,-0.03615387278814768,-0.0026290512038392483,0.95,1,16,high_minus_low,exact_selected_real
clean_target_ablation,action_noise,random_sample_selection,4,exact_selected_score,12,1.71319727817239,0.11919330180102437,1.485418547503532,1.9410823637370662,0.95,1,16,high_minus_low,exact_selected_score
clean_target_ablation,action_noise,random_sample_selection,4,high_n_regret,12,0.0,0.0,0.0,0.0,0.95,1,16,high_minus_low,high_n_regret
clean_target_ablation,action_noise,random_sample_selection,16,exact_selected_real,12,-0.004020208481358529,0.003775746124415733,-0.010599263710782758,0.0039059167155916156,0.95,1,16,high_minus_low,exact_selected_real
