seed,episode_idx,env_seed,regime,sampler,K,candidates,sample_runtime_seconds,rollout_runtime_seconds,runtime_per_candidate_ms
1,0,31100,pusht_aligned,ddim_eps,1,16,0.007160299996030517,2.388754499996139,149.7446749995106
1,0,31100,pusht_aligned,consistency_1step,1,16,0.007961600000271574,3.0817213999980595,193.1051874998957
1,0,31100,pusht_aligned,ddim_eps,8,16,0.023071599993272685,3.29246179999609,207.22083749933518
1,0,31100,pusht_aligned,ddim_eps,16,16,0.02865139999630628,2.6291704999966896,166.11386874956224
1,0,31100,pusht_aligned,ddpm_eps,16,16,0.06792629999836208,2.472087100002682,158.75083750006524
1,1,31101,pusht_aligned,ddim_eps,1,16,0.013959600000816863,2.9622544000012567,186.0133750001296
1,1,31101,pusht_aligned,consistency_1step,1,16,0.013169900004868396,2.8741990999988047,180.46056250022957
1,1,31101,pusht_aligned,ddim_eps,8,16,0.020514299998467322,2.786131299995759,175.41534999963915
1,1,31101,pusht_aligned,ddim_eps,16,16,0.03323180000006687,2.4554244999962975,155.54101874977277
1,1,31101,pusht_aligned,ddpm_eps,16,16,0.0507389000049443,2.5725253999989945,163.95401875024618
1,2,31102,pusht_aligned,ddim_eps,1,16,0.03570839999883901,2.6490709999998217,167.7987124999163
1,2,31102,pusht_aligned,consistency_1step,1,16,0.01292950000060955,2.351087400005781,147.75105625039942
1,2,31102,pusht_aligned,ddim_eps,8,16,0.021897499995247927,2.323546300001908,146.59023749982225
1,2,31102,pusht_aligned,ddim_eps,16,16,0.028819599996495526,2.1311493999965023,134.99806249956237
1,2,31102,pusht_aligned,ddpm_eps,16,16,0.046871599995938595,2.2322083999970346,142.44249999956082
1,0,32100,pusht_low_diversity,ddim_eps,1,16,0.011470299999928102,2.423405699999421,152.1797499999593
1,0,32100,pusht_low_diversity,consistency_1step,1,16,0.007403299998259172,2.3404020000016317,146.73783124999318
1,0,32100,pusht_low_diversity,ddim_eps,8,16,0.018653799997991882,2.0967700999972294,132.21399374970133
1,0,32100,pusht_low_diversity,ddim_eps,16,16,0.02465160000429023,2.0108131999950274,127.21654999995735
