seed,state_idx,regime,sampler,K,candidates,runtime_seconds,runtime_per_candidate_ms,mean_pairwise_distance,effective_sample_diversity
1,0,id,ddim_eps,1,24,0.01982529999804683,0.8260541665852846,0.5853301781424114,1.6281649994001552
1,0,id,clean_target_ablation,1,24,0.006349900002533104,0.26457916677221266,0.38751328191167195,1.6230118064175072
1,0,id,consistency_1step,1,24,0.006465999998908956,0.2694166666212065,0.5831140211933968,1.620439024957011
1,0,id,ddim_eps,4,24,0.013710499999433523,0.5712708333097302,0.5829604522157861,1.6107947275815033
1,0,id,clean_target_ablation,4,24,0.02114159999837284,0.8808999999322017,0.10606222051324463,1.618796818713888
1,0,id,ddpm_eps,4,24,0.02655830000003334,1.1065958333347226,0.586762897484768,1.6128010384660951
1,0,id,ddim_eps,16,24,0.03228589999707765,1.3452458332115687,0.5584003119807458,1.616607406926116
1,0,id,clean_target_ablation,16,24,0.03189650000058464,1.3290208333576932,0.027978191934555436,1.6604983100694208
1,0,id,ddpm_eps,16,24,0.045557100002042716,1.898212500085113,0.5754082917337291,1.6327249398261072
1,1,id,ddim_eps,1,24,0.017941199999768287,0.7475499999903453,0.5749381509543634,1.6290742994687608
1,1,id,clean_target_ablation,1,24,0.01427970000077039,0.5949875000320995,0.386371291111399,1.6187736034061166
1,1,id,consistency_1step,1,24,0.011933999998291256,0.4972499999288023,0.5996669823150516,1.6156037794182785
1,1,id,ddim_eps,4,24,0.025633700002799742,1.0680708334499893,0.5941924161282923,1.6310122035444097
1,1,id,clean_target_ablation,4,24,0.01926400000229478,0.8026666667622825,0.12087061193261733,1.646402972684714
1,1,id,ddpm_eps,4,24,0.017522500002087327,0.7301041667536387,0.597039908063648,1.628725901578854
1,1,id,ddim_eps,16,24,0.03829350000160048,1.5955625000666867,0.5448244908541703,1.6154615441030213
1,1,id,clean_target_ablation,16,24,0.041952499999752035,1.7480208333230014,0.028440982397749583,1.6123742875455542
1,1,id,ddpm_eps,16,24,0.03424549999908777,1.4268958332953237,0.5565277851944169,1.6256742004378733
1,2,id,ddim_eps,1,24,0.010989099999278551,0.45787916663660627,0.5580045556581924,1.603753829841666
1,2,id,clean_target_ablation,1,24,0.007856799998990027,0.32736666662458447,0.4198281819765061,1.6261884084518512
1,2,id,consistency_1step,1,24,0.00644290000127512,0.26845416671979666,0.5650289152850564,1.621124422944618
1,2,id,ddim_eps,4,24,0.011145899999974063,0.46441249999891926,0.5707160436470936,1.6176162395343459
1,2,id,clean_target_ablation,4,24,0.012374500001897104,0.5156041667457126,0.12346836763894566,1.6427274477552682
1,2,id,ddpm_eps,4,24,0.02053850000083912,0.8557708333682967,0.5706791958005758,1.6242402554108455
1,2,id,ddim_eps,16,24,0.053800600002432475,2.24169166676802,0.5731425281329967,1.6078399405202395
1,2,id,clean_target_ablation,16,24,0.026208200000837678,1.0920083333682367,0.030721752702854172,1.638516878329667
1,2,id,ddpm_eps,16,24,0.06739089999973658,2.8079541666556906,0.5781316860670389,1.6433304965379367
1,0,low_diversity,ddim_eps,1,24,0.011835100001917453,0.49312916674656054,0.07910351935282928,1.638332781212982
1,0,low_diversity,clean_target_ablation,1,24,0.01779800000076648,0.7415833333652699,0.06430394807734353,1.6420093478361077
1,0,low_diversity,consistency_1step,1,24,0.011411800001951633,0.4754916667479847,0.07454715194348636,1.60815050459192
1,0,low_diversity,ddim_eps,4,24,0.009232000000338303,0.3846666666807626,0.07483254273177228,1.6236924109294713
1,0,low_diversity,clean_target_ablation,4,24,0.025374899996677414,1.057287499861559,0.013097568648539568,1.6247123418551757
1,0,low_diversity,ddpm_eps,4,24,0.012744899999233894,0.5310374999680789,0.07538596206397814,1.6228134675335297
1,0,low_diversity,ddim_eps,16,24,0.036317699999926845,1.5132374999969518,0.07808768806173993,1.624200042796877
1,0,low_diversity,clean_target_ablation,16,24,0.033133299999462906,1.3805541666442878,0.0037237098360571406,1.6394446811985182
1,0,low_diversity,ddpm_eps,16,24,0.031106700000236742,1.2961125000098643,0.07922763664925547,1.6158199116936576
1,1,low_diversity,ddim_eps,1,24,0.008328600000822917,0.3470250000342882,0.07611890954907587,1.6169636032278478
1,1,low_diversity,clean_target_ablation,1,24,0.008999799996672664,0.3749916665280277,0.053316024145131855,1.6289924966037157
1,1,low_diversity,consistency_1step,1,24,0.009671899999375455,0.40299583330731065,0.07169175725033342,1.609396686444186
1,1,low_diversity,ddim_eps,4,24,0.017438200000469806,0.7265916666862419,0.07201180873152323,1.6229875580969413
1,1,low_diversity,clean_target_ablation,4,24,0.014315299998997943,0.596470833291581,0.01486976080727677,1.6027222643514218
1,1,low_diversity,ddpm_eps,4,24,0.01593439999851398,0.6639333332714159,0.07198002554157137,1.6173213800756188
1,1,low_diversity,ddim_eps,16,24,0.06751359999907436,2.813066666628098,0.0715218765065554,1.6229984642415138
1,1,low_diversity,clean_target_ablation,16,24,0.0285887999998522,1.1911999999938416,0.003653066871509833,1.6498312836661981
1,1,low_diversity,ddpm_eps,16,24,0.05047840000042925,2.103266666684552,0.07441018955568068,1.6185261892660674
1,2,low_diversity,ddim_eps,1,24,0.008230400002503302,0.3429333334376376,0.07208278737091059,1.6318306525069666
1,2,low_diversity,clean_target_ablation,1,24,0.013884700001653982,0.5785291667355826,0.05941431217653529,1.6503874072748022
1,2,low_diversity,consistency_1step,1,24,0.007055500002024928,0.2939791667510387,0.08045353718508247,1.6322433828349705
1,2,low_diversity,ddim_eps,4,24,0.03725990000020829,1.552495833342012,0.06973299802367246,1.6047918146943754
1,2,low_diversity,clean_target_ablation,4,24,0.014252499997382984,0.5938541665576244,0.015310262503690391,1.631356051359279
1,2,low_diversity,ddpm_eps,4,24,0.029066399998555426,1.2110999999398093,0.07025831528723527,1.6112589620130597
1,2,low_diversity,ddim_eps,16,24,0.10626140000022133,4.427558333342556,0.07344781177695422,1.6190158160123147
1,2,low_diversity,clean_target_ablation,16,24,0.060810200000560144,2.5337583333566727,0.0038257666459815334,1.6456123126537048
1,2,low_diversity,ddpm_eps,16,24,0.030435700002271915,1.2681541667613299,0.07550185777933703,1.6223775417555049
1,0,hidden_obstacle,ddim_eps,1,24,0.01192319999972824,0.4967999999886767,0.7114233200323535,1.62273796697568
1,0,hidden_obstacle,clean_target_ablation,1,24,0.007731000001513166,0.3221250000630486,0.4630159150459569,1.6245086907723947
1,0,hidden_obstacle,consistency_1step,1,24,0.01181919999726233,0.49246666655259713,0.7161954131440604,1.6098456897044662
1,0,hidden_obstacle,ddim_eps,4,24,0.018843899997591507,0.7851624998996461,0.7271933629298244,1.6089978431930017
1,0,hidden_obstacle,clean_target_ablation,4,24,0.02349800000229152,0.9790833334288133,0.1306058302105675,1.6480688052133488
1,0,hidden_obstacle,ddpm_eps,4,24,0.014428499998757616,0.601187499948234,0.7250000776237852,1.6089252761258297
1,0,hidden_obstacle,ddim_eps,16,24,0.04954849999921862,2.064520833300776,0.7183611728625537,1.6059406548393131
1,0,hidden_obstacle,clean_target_ablation,16,24,0.05373390000022482,2.2389125000093677,0.03090167191256463,1.639253045806355
1,0,hidden_obstacle,ddpm_eps,16,24,0.051342399998247856,2.139266666593661,0.733703593945883,1.6045087709577865
1,1,hidden_obstacle,ddim_eps,1,24,0.015469100002519554,0.6445458334383147,0.7414875657859936,1.6206321447049787
1,1,hidden_obstacle,clean_target_ablation,1,24,0.009148799999820767,0.38119999999253196,0.4621932588304201,1.6294561722362684
1,1,hidden_obstacle,consistency_1step,1,24,0.005444300000817748,0.22684583336740616,0.7773968869900738,1.6369723464050099
1,1,hidden_obstacle,ddim_eps,4,24,0.011259599999903003,0.46914999999595847,0.733152391031594,1.6007345482900182
1,1,hidden_obstacle,clean_target_ablation,4,24,0.012261300002137432,0.5108875000890597,0.14286678176291345,1.6297169331095154
1,1,hidden_obstacle,ddpm_eps,4,24,0.01733339999918826,0.7222249999661775,0.7355215589656191,1.605319439670804
1,1,hidden_obstacle,ddim_eps,16,24,0.03799300000173389,1.583041666738912,0.7287236566511748,1.6025853781457056
1,1,hidden_obstacle,clean_target_ablation,16,24,0.05289260000063223,2.203858333359676,0.03635160785335354,1.6297133333918739
1,1,hidden_obstacle,ddpm_eps,16,24,0.0746370000015304,3.1098750000637665,0.7479032463806364,1.638611181249829
1,2,hidden_obstacle,ddim_eps,1,24,0.01760419999845908,0.7335083332691283,0.7449871922027728,1.607876948775705
1,2,hidden_obstacle,clean_target_ablation,1,24,0.0066410999970685225,0.2767124998778551,0.48247759401631857,1.606305848080819
1,2,hidden_obstacle,consistency_1step,1,24,0.006897000002936693,0.2873750001223622,0.6816202610145781,1.63312005280862
1,2,hidden_obstacle,ddim_eps,4,24,0.0200793000003614,0.8366375000150583,0.7656227654074138,1.628718320327073
1,2,hidden_obstacle,clean_target_ablation,4,24,0.007506499998271465,0.31277083326131105,0.14557880316872257,1.6280096761827558
1,2,hidden_obstacle,ddpm_eps,4,24,0.02254240000183927,0.9392666667433028,0.7664601447658069,1.6166923129037933
1,2,hidden_obstacle,ddim_eps,16,24,0.056539400000474416,2.355808333353101,0.7482555483495559,1.620332154600393
1,2,hidden_obstacle,clean_target_ablation,16,24,0.10665050000170595,4.443770833404415,0.03828170433806507,1.637193189363274
1,2,hidden_obstacle,ddpm_eps,16,24,0.03798310000274796,1.582629166781165,0.771959429521239,1.6062478925687194
1,0,changed_friction,ddim_eps,1,24,0.007551800001238007,0.31465833338491694,0.5861637111370237,1.609114543243123
