seed,episode_idx,env_seed,regime,sampler,K,temperature,new_modes_at_high_n,mean_pairwise_distance,effective_sample_diversity,duplicate_collapse_rate,trajectory_cluster_count,trajectory_cluster_entropy
1,0,31100,pusht_aligned,ddim_eps,1,0.95,3.0,451.85055122433255,1.5526579596113488,0.0,5.0,0.9602252384196103
1,0,31100,pusht_aligned,consistency_1step,1,0.95,2.0,480.7162227241931,1.5562805156091946,0.0,5.0,0.9155385080044101
1,0,31100,pusht_aligned,ddim_eps,8,0.95,2.0,472.3322581876619,1.5671488584749391,0.0,5.0,0.7668937437961681
1,0,31100,pusht_aligned,ddpm_eps,8,0.95,2.0,477.9927483039187,1.5441351103815397,0.0,5.0,0.7668937437961681
1,0,32100,pusht_low_diversity,ddim_eps,1,0.1,2.0,52.01073117163573,1.5655269555815865,0.0,5.0,0.9602252384196103
1,0,32100,pusht_low_diversity,consistency_1step,1,0.1,1.0,50.49280199829865,1.5330246498043771,0.0,4.0,0.7755490855007471
1,0,32100,pusht_low_diversity,ddim_eps,8,0.1,1.0,54.867066302338415,1.6001128706918366,0.0,5.0,0.766893743796168
1,0,32100,pusht_low_diversity,ddpm_eps,8,0.1,1.0,55.68595952686862,1.5947593840625116,0.0,5.0,0.766893743796168
1,0,33100,pusht_high_temp_misaligned,ddim_eps,1,1.3,2.0,609.3276134966851,1.5573117117895625,0.0,3.0,0.8734790278674448
1,0,33100,pusht_high_temp_misaligned,consistency_1step,1,1.3,0.0,597.5990151325868,1.5724718175926395,0.0,4.0,0.7755490855007471
1,0,33100,pusht_high_temp_misaligned,ddim_eps,8,1.3,2.0,567.6651804668169,1.5814807820224233,0.0,5.0,0.8979444735195753
1,0,33100,pusht_high_temp_misaligned,ddpm_eps,8,1.3,2.0,590.0769662148208,1.5778148560050007,0.0,5.0,0.8979444735195753
2,0,31200,pusht_aligned,ddim_eps,1,0.95,2.0,662.2149596359828,1.5463333345944308,0.0,5.0,0.8848616689959363
2,0,31200,pusht_aligned,consistency_1step,1,0.95,1.0,625.2447168678962,1.617251578400058,0.0,5.0,0.7668937437961681
2,0,31200,pusht_aligned,ddim_eps,8,0.95,2.0,567.3521418334205,1.5287064191891035,0.0,5.0,0.9602252384196103
2,0,31200,pusht_aligned,ddpm_eps,8,0.95,1.0,564.1938818074955,1.5607684790854854,0.0,5.0,0.9426312039347755
2,0,32200,pusht_low_diversity,ddim_eps,1,0.1,2.0,68.8524403559237,1.5842888550017176,0.0,6.0,0.9269924126570991
2,0,32200,pusht_low_diversity,consistency_1step,1,0.1,2.0,67.11951143413835,1.573852292148377,0.0,5.0,0.9426312039347755
2,0,32200,pusht_low_diversity,ddim_eps,8,0.1,1.0,72.9157897270845,1.5977296953196158,0.0,5.0,0.8848616689959363
2,0,32200,pusht_low_diversity,ddpm_eps,8,0.1,1.0,73.24111523105587,1.583164398700381,0.0,5.0,0.9426312039347755
2,0,33200,pusht_high_temp_misaligned,ddim_eps,1,1.3,2.0,747.6072710861994,1.5246718050348256,0.0,5.0,0.9426312039347753
2,0,33200,pusht_high_temp_misaligned,consistency_1step,1,1.3,0.0,839.1002100715125,1.5610823815126866,0.0,5.0,0.8437590816588446
2,0,33200,pusht_high_temp_misaligned,ddim_eps,8,1.3,3.0,777.7666980091697,1.551395973595615,0.0,5.0,0.8437590816588446
2,0,33200,pusht_high_temp_misaligned,ddpm_eps,8,1.3,3.0,777.4567344786165,1.5624715697357707,0.0,5.0,0.9119543649263018
